,team,opposition,runs,wkts
0,AFG,v Australia,563,6.0
1,AFG,v Bangladesh,303,3.0
2,AFG,v England,480,10.0
3,AFG,v India,525,2.0
4,AFG,v Netherlands,346,6.0
5,AFG,v New Zealand,418,6.0
6,AFG,v Pakistan,555,7.0
7,AFG,v South Africa,473,5.0
8,AFG,v Sri Lanka,471,8.0
9,AUS,v Afghanistan,564,5.0
10,AUS,v Bangladesh,599,5.0
11,AUS,v England,523,10.0
12,AUS,v India,386,4.0
13,AUS,v Netherlands,477,9.0
14,AUS,v New Zealand,758,8.0
15,AUS,v Pakistan,639,10.0
16,AUS,v South Africa,871,17.0
17,AUS,v Sri Lanka,417,9.0
18,BAN,v Afghanistan,306,10.0
19,BAN,v Australia,589,2.0
20,BAN,v England,581,9.0
21,BAN,v India,511,3.0
22,BAN,v Netherlands,360,9.0
23,BAN,v New Zealand,483,2.0
24,BAN,v Pakistan,398,3.0
25,BAN,v South Africa,595,5.0
26,BAN,v Sri Lanka,535,8.0
27,ENG,v Afghanistan,485,8.0
28,ENG,v Australia,519,10.0
29,ENG,v Bangladesh,580,10.0
30,ENG,v India,346,8.0
31,ENG,v Netherlands,493,9.0
32,ENG,v New Zealand,554,1.0
33,ENG,v Pakistan,561,10.0
34,ENG,v South Africa,549,7.0
35,ENG,v Sri Lanka,309,2.0
36,IND,v Afghanistan,525,8.0
37,IND,v Australia,386,10.0
38,IND,v Bangladesh,512,8.0
39,IND,v England,349,10.0
40,IND,v Netherlands,623,9.0
41,IND,v New Zealand,1241,19.0
42,IND,v Pakistan,378,10.0
43,IND,v South Africa,383,10.0
44,IND,v Sri Lanka,386,10.0
45,NED,v Afghanistan,341,3.0
46,NED,v Australia,482,7.0
47,NED,v Bangladesh,359,9.0
48,NED,v England,510,8.0
49,NED,v India,646,4.0
50,NED,v Netherlands,13,1.0
51,NED,v New Zealand,538,7.0
52,NED,v Pakistan,482,9.0
53,NED,v South Africa,418,10.0
54,NED,v Sri Lanka,479,5.0
55,NZ,v Afghanistan,417,10.0
56,NZ,v Australia,744,10.0
57,NZ,v Bangladesh,481,9.0
58,NZ,v England,557,9.0
59,NZ,v India,1224,9.0
60,NZ,v Netherlands,531,9.0
61,NZ,v Pakistan,574,1.0
62,NZ,v South Africa,508,4.0
63,NZ,v Sri Lanka,340,10.0
64,PAK,v Afghanistan,551,2.0
65,PAK,v Australia,642,9.0
66,PAK,v Bangladesh,401,10.0
67,PAK,v England,568,8.0
68,PAK,v India,378,3.0
69,PAK,v Netherlands,482,9.0
70,PAK,v New Zealand,589,6.0
71,PAK,v South Africa,516,9.0
72,PAK,v Sri Lanka,659,9.0
73,SA,v Afghanistan,477,9.0
74,SA,v Australia,884,17.0
75,SA,v Bangladesh,603,10.0
76,SA,v England,545,9.0
77,SA,v India,405,5.0
78,SA,v Netherlands,434,8.0
79,SA,v New Zealand,507,10.0
80,SA,v Pakistan,516,10.0
81,SA,v Sri Lanka,726,10.0
82,SL,v Afghanistan,471,3.0
83,SL,v Australia,411,4.0
84,SL,v Bangladesh,541,7.0
85,SL,v England,310,8.0
86,SL,v India,391,6.0
87,SL,v Netherlands,495,9.0
88,SL,v New Zealand,339,4.0
89,SL,v Pakistan,675,4.0
90,SL,v South Africa,733,5.0
